DateTime,Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle,good_name,confidence
2016-01-01 9:39,2016-01-01,36,9:39,Friday,fstn,Investigation,7.0,14.0,W,1263.0,Front St East at Parliament St,30
2016-01-02 13:39,2016-01-02,25,13:39,Saturday,papae station,Mechanical,6.0,11.0,n/b,7491.0,Pape Ave at Rivercourt Blvd,50
2016-01-02 16:35,2016-01-02,72,16:35,Saturday,cherry / commissioners,Utilized Off Route,10.0,20.0,N,7791.0,Carlaw Ave at Commissioners St North Side,60
2016-01-03 21:55,2016-01-03,63,21:55,Sunday,oakwood and earlscourt,Investigation,10.0,20.0,down,1501.0,Earlscourt Loop at St Clair Ave West,60
2016-01-04 5:04,2016-01-04,12,5:04,Monday,barkdene,Late Leaving Garage,10.0,9.0,WB,7743.0,Barkdene Hills,60
2016-01-04 5:28,2016-01-04,10,5:28,Monday,vanhorne and brian,Late Leaving Garage,15.0,15.0,W,8328.0,Van Horne Ave at Brian Ave,60
2016-01-04 5:30,2016-01-04,191,5:30,Monday,arrow rd.,Utilized Off Route,4.0,8.0,s,8462.0,700 Arrow Rd,60
2016-01-04 6:20,2016-01-04,42,6:20,Monday,vicpark,Mechanical,13.0,23.0,w,8394.0,Victoria Park Ave at Danforth Ave,40
2016-01-04 14:32,2016-01-04,12,14:32,Monday,neil mcneil school,Late Leaving Garage,9.0,0.0,N/B,7857.0,Michael Power / St Joseph H.S.,60
2016-01-04 14:36,2016-01-04,12,14:36,Monday,neil mcneil school,Late Leaving Garage,4.0,8.0,N/B,8123.0,Michael Power / St Joseph H.S.,60
2016-01-04 15:25,2016-01-04,70,15:25,Monday,east york cllegiate,Mechanical,4.0,8.0,SB,8123.0,East York Town Centre,50
2016-01-05 8:30,2016-01-05,42,8:30,Tuesday,finch station to maybrook,General Delay,40.0,20.0,b/w,,Maybrook Dr at McNicoll Ave North Side,60
2016-01-05 9:10,2016-01-05,45,9:10,Tuesday,eglington and kipling n/b,Mechanical,15.0,24.0,N/B,8084.0,Eglinton Ave West at Kipling Ave,60
2016-01-05 10:00,2016-01-05,29,10:00,Tuesday,duff and tycos,Utilized Off Route,1.0,1.0,N,9016.0,Dufferin St at Tycos Dr,60
2016-01-05 16:00,2016-01-05,57,16:00,Tuesday,midland route,General Delay,10.0,1.0,B/W,,Midland Ave,50
2016-01-05 16:45,2016-01-05,7,16:45,Tuesday,village gate at greenwin village,Investigation,8.0,16.0,S,9029.0,Steeles Ave West at Village Gate,60
2016-01-05 17:00,2016-01-05,23,17:00,Tuesday,dawes route,General Delay,12.0,1.0,BW,,Danforth Ave,60
2016-01-06 8:00,2016-01-06,5,8:00,Wednesday,avenue rd and yorkville,General Delay,15.0,30.0,s/b,,Avenue Rd at Yonge St,60
2016-01-06 8:00,2016-01-06,8,8:00,Wednesday,broadview rte,General Delay,15.0,30.0,,8116.0,Broadview Ave at Erindale Ave,50
2016-01-06 10:00,2016-01-06,52,10:00,Wednesday,waterbury & westway,Mechanical,13.0,26.0,e/b,1059.0,Waterbury Dr at Martin Grove Rd,50
2016-01-06 11:28,2016-01-06,75,11:28,Wednesday,bloor,Mechanical,7.0,14.0,n,8177.0,Bloor St West at Ossington Ave,40
2016-01-06 15:00,2016-01-06,89,15:00,Wednesday,rogers to eglinton both ways,General Delay,7.0,15.0,B,1421.0,Rogers Rd at Eglinton Ave West,50
2016-01-06 15:00,2016-01-06,41,15:00,Wednesday,rogers to yore both ways,General Delay,10.0,20.0,B,9149.0,Keele St at Yore Rd,50
2016-01-06 15:30,2016-01-06,161,15:30,Wednesday,keele and rogers to black creek,General Delay,30.0,40.0,b/w,,Keele St at Rogers Rd,60
2016-01-06 16:00,2016-01-06,47,16:00,Wednesday,yorkdale to queen,General Delay,20.0,38.0,b/w,,Dufferin St at Dufferin Park Ave,40
2016-01-06 17:00,2016-01-06,60,17:00,Wednesday,alness avenue to founders road,General Delay,10.0,18.0,BW,,Alness St at Steeles Ave West South Side,60
2016-01-06 21:15,2016-01-06,129,21:15,Wednesday,steels loop @ mccowan rd.,Mechanical,6.0,12.0,S,1214.0,Steeles Ave East Loop,60
2016-01-06 21:39,2016-01-06,90,21:39,Wednesday,st.clair w station,Utilized Off Route,8.0,16.0,W,1796.0,St Clair Ave West at Bathurst St East Side,55
2016-01-06 21:39,2016-01-06,29,21:39,Wednesday,st.clair/dufferin,Utilized Off Route,5.0,10.0,SB,9043.0,Eglinton Ave West at Dufferin St,60
2016-01-07 8:15,2016-01-07,5,8:15,Thursday,avenue rd and yorkville,General Delay,24.0,38.0,s/b,,Avenue Rd at Yonge St,60
2016-01-07 9:22,2016-01-07,68,9:22,Thursday,warden ave   hwy # 401,Diversion,23.0,28.0,sb,7431.0,Birchmount Rd at Highway 401 - Walkway North of Rolark,60
2016-01-07 16:00,2016-01-07,81,16:00,Thursday,thornecliffe route,General Delay,10.0,1.0,B/W,,Thorncliffe Park Dr East at Overlea Blvd,60
2016-01-08 5:13,2016-01-08,85,5:13,Friday,medowvale loop,Late Leaving Garage,12.0,27.0,W,9078.0,Meadowvale Rd at Sheppard Ave East,50
2016-01-08 8:15,2016-01-08,5,8:15,Friday,avenue rd and yorkville,General Delay,15.0,30.0,s/b,,Avenue Rd at Yonge St,60
2016-01-08 14:06,2016-01-08,85,14:06,Friday,don mills station - rouge hill go,General Delay,10.0,16.0,E/W,,Don Mills Rd at The Donway East,40
2016-01-08 14:49,2016-01-08,44,14:49,Friday,col sam loop,Mechanical,2.0,4.0,n,7326.0,Colonel Samuel Smith Park Dr,60
2016-01-08 15:00,2016-01-08,51,15:00,Friday,eglinton station  to leslie,General Delay,25.0,45.0,b,,Eglinton Ave East at Leslie St,60
2016-01-08 15:15,2016-01-08,5,15:15,Friday,bloor,Utilized Off Route,16.0,32.0,N,8182.0,Bloor St West at Ossington Ave,40
2016-01-08 15:34,2016-01-08,53,15:34,Friday,patricia and yonge,Investigation,5.0,10.0,E/B,1278.0,Bathurst St at Patricia Ave North Side,50
2016-01-08 16:00,2016-01-08,47,16:00,Friday,yorkdale to queen,General Delay,28.0,60.0,b/w,,Dufferin St at Dufferin Park Ave,40
2016-01-08 16:00,2016-01-08,11,16:00,Friday,davisville to eglinton,General Delay,40.0,45.0,b,,Davisville Ave at Eglinton Ave West,60
2016-01-08 16:12,2016-01-08,165,16:12,Friday,barmac and nsteeles,Investigation,15.0,23.0,S,8409.0,Steeles Ave West at Barmac Dr,60
2016-01-08 16:39,2016-01-08,68,16:39,Friday,^8 wareden route,Utilized Off Route,6.0,12.0,B/W,7686.0,Warden Ave at Steeles Ave East,50
2016-01-08 17:28,2016-01-08,32,17:28,Friday,eglinton and warren,Investigation,5.0,10.0,EB,1670.0,Eglinton Ave East at Warden Ave,50
2016-01-09 6:05,2016-01-09,43,6:05,Saturday,midland ave to william kitchen rd on progress,Diversion,15.0,30.0,B/W,7404.0,Progress Ave at Midland Ave,60
2016-01-09 19:46,2016-01-09,39,19:46,Saturday,fstn,Investigation,20.0,26.0,WB,1227.0,Front St East at Parliament St,30
2016-01-10 5:44,2016-01-10,29,5:44,Sunday,prices blvd,Diversion,1.0,1.0,N,1789.0,3700 Bloor St West at Resurrection Rd,40
2016-01-11 6:07,2016-01-11,60,6:07,Monday,sifnet drive,Late Leaving Garage,6.0,11.0,E,1344.0,Signet Dr at Finch Ave West,60
2016-01-11 13:47,2016-01-11,45,13:47,Monday,kipling/atwell,Mechanical,10.0,20.0,s/b,7315.0,Attwell Dr at Belfield Rd North Side,50
2016-01-11 15:13,2016-01-11,95,15:13,Monday,ellesmere rt,Late Leaving Garage,7.0,14.0,W,1716.0,Ellesmere Rd at Military Trail,60
2016-01-11 16:20,2016-01-11,75,16:20,Monday,bloor,Utilized Off Route,6.0,12.0,N,8311.0,Bloor St West at Ossington Ave,40
2016-01-12 5:00,2016-01-12,7,5:00,Tuesday,steele s to bathurst station,General Delay,20.0,29.0,b/w,,Steeles Ave West at Bathurst St,60
