Datetime,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Line Number,Cause for Delay,Station Name
1/1/2014 8:49:00,Wednesday,YONGE SHP STATION,MUNOA,6,12,E,SHP,5276,LINE 4,No Operator Immediately Available - Not E.S.A. Related ,NO MATCH
1/1/2014 8:55:00,Wednesday,YONGE SHP STATION,MUNOA,12,18,E,SHP,5282,LINE 4,No Operator Immediately Available - Not E.S.A. Related ,NO MATCH
1/1/2014 21:28:00,Wednesday,YONGE SHP STATION,MUNOA,5,10,E,SHP,5358,LINE 4,No Operator Immediately Available - Not E.S.A. Related ,NO MATCH
1/1/2014 21:49:00,Wednesday,YONGE BD STATION,SUUT,17,22,W,BD,5147,LINE 2,Unauthorized at Track Level,NO MATCH
1/3/2014 23:54:00,Friday,YONGE SHP STATION,MUSC,0,0,E,SHP,5291,LINE 4,Miscellaneous Speed Control,NO MATCH
1/4/2014 6:00:00,Saturday,YONGE BD STATION,MUFM,0,0,W,BD,0,LINE 2,Force Majeure,NO MATCH
1/5/2014 12:44:00,Sunday,YONGE SHP STATION,TUSC,4,10,W,SHP,5352,LINE 4,Operator Overspeeding,NO MATCH
1/5/2014 15:56:00,Sunday,YONGE BD STATION,EUPI,8,13,E,BD,5007,LINE 2,Propulsion System,NO MATCH
1/6/2014 22:20:00,Monday,YONGE SHP STATION,MUSC,0,0,E,SHP,5278,LINE 4,Miscellaneous Speed Control,NO MATCH
1/7/2014 5:34:00,Tuesday,YONGE SHP STATION,MUSC,0,0,E,SHP,5291,LINE 4,Miscellaneous Speed Control,NO MATCH
1/7/2014 8:26:00,Tuesday,YONGE BD STATION,MUIR,0,0,W,BD,0,LINE 2,Injured or ill Customer (On Train) - Medical Aid Refused,NO MATCH
1/8/2014 0:44:00,Wednesday,YONGE SHP STATION,PUSO,5,11,W,SHP,5275,LINE 4,S/E/C Department Other,NO MATCH
1/9/2014 15:50:00,Thursday,YONGE BD STATION,MUIR,4,7,E,BD,5839,LINE 2,Injured or ill Customer (On Train) - Medical Aid Refused,NO MATCH
1/9/2014 17:23:00,Thursday,YONGE SHP STATION,SUEAS,14,19,W,SHP,5272,LINE 4,Emergency Alarm Station Activation,NO MATCH
1/9/2014 20:45:00,Thursday,YONGE BD STATION,SUAE,0,0,E,BD,5933,LINE 2,Assault / Employee Involved,NO MATCH
1/10/2014 5:21:00,Friday,YONGE SHP STATION,TUSC,0,0,E,SHP,5291,LINE 4,Operator Overspeeding,NO MATCH
1/10/2014 20:08:00,Friday,YONGE BD STATION,MUI,0,0,E,BD,0,LINE 2,Injured or ill Customer (On Train) - Transported,NO MATCH
1/12/2014 8:40:00,Sunday,YONGE SHP STATION,MUSC,0,0,E,SHP,5358,LINE 4,Miscellaneous Speed Control,NO MATCH
