Bloor-Yonge,156643
College,39137
Davisville,15903
Downsview Park,5618
Dundas,72406
Dupont,11084
Eglinton,60814
Eglinton West,13982
Finch,70775
Finch West,18345
Glencairn,5878
Highway 407,7649
King,35107
Lawrence,21197
Lawrence West,19742
Museum,9604
North York Centre,16699
Osgoode,19323
Pioneer Village,16570
Queen,36714
Queen's Park,34444
Rosedale,4875
Sheppard West,19495
Sheppard-Yonge,57501
Spadina,11479
St. Andrew,34576
St. Clair,27336
St. Clair West,21013
St. George,101128
St. Patrick,23989
Summerhill,5045
Union,136515
Vaughan Metropolitan Centre,20394
Wellesley,17705
Wilson,21579
York Mills,20498
York University,20447
Yorkdale,19725
Bathurst,30598
Bay,20980
Bloor-Yonge,121531
Broadview,11720
Castle Frank,8943
Chester,6197
Christie,11407
Coxwell,13450
Donlands,6317
Dufferin,26800
Dundas West,23861
Greenwood,9567
High Park,9173
Islington,25023
Jane,14953
Keele,16305
Kennedy,42881
Kipling,49392
Lansdowne,17406
Main Street,18682
Old Mill,6109
Ossington,22109
Pape,34506
Royal York,17337
Runnymede,15838
Sherbourne,24689
Spadina,27601
St. George,108866
Victoria Park,32276
Warden,21843
Woodbine,10803
Bayview,6205
Bessarion,3180
Don Mills,28709
Leslie,3988
Sheppard-Yonge,35327
