date,tavg,tmin,tmax,prcp,wdir,wspd
1/1/2023 0:00:00,3.1,2.2,4.3,0.2,229,9.3
1/2/2023 0:00:00,3,-0.1,5.8,0,254,6.6
1/3/2023 0:00:00,2.4,0.3,3.6,3.6,41,13.2
1/4/2023 0:00:00,3,2.7,3.2,23.5,57,14.2
1/5/2023 0:00:00,3,1.7,4.3,0.2,225,11.2
1/6/2023 0:00:00,1.7,-0.1,4.1,0.2,253,12
1/7/2023 0:00:00,-0.3,-5.1,3.2,0,311,10
1/8/2023 0:00:00,-3.2,-6.1,0.4,0,248,7.1
1/9/2023 0:00:00,-0.3,-3.5,4.2,0,252,13.7
1/10/2023 0:00:00,-0.7,-1.9,0.5,0,52,13.9
1/11/2023 0:00:00,-0.2,-1.4,1,0.3,79,24.5
1/12/2023 0:00:00,1.8,-0.3,3.2,11.2,33,17.2
1/13/2023 0:00:00,-2.7,-8.5,1.1,5,345,33.3
1/14/2023 0:00:00,-9,-12.5,-4.6,0,354,20.7
1/15/2023 0:00:00,-7.5,-12.3,-3,0,34,11.7
1/16/2023 0:00:00,-2.5,-5.1,-0.1,0,81,13.6
1/17/2023 0:00:00,2,-0.8,4.3,2.5,88,12.8
1/18/2023 0:00:00,3.1,0.9,5.4,0,277,19.3
1/19/2023 0:00:00,1.4,0.8,2.5,10.1,61,27.7
1/20/2023 0:00:00,1.6,-1,3.4,1.5,294,18.7
1/21/2023 0:00:00,-0.2,-1.5,2,0,255,15.7
1/22/2023 0:00:00,-0.2,-1.7,1.2,2.6,130,12.6
1/23/2023 0:00:00,-0.1,-2.3,3.2,0,307,22.9
1/24/2023 0:00:00,-0.1,-2.3,2.2,0.1,259,27.5
1/25/2023 0:00:00,-0.4,-2.7,1.9,14.6,108,25.8
1/26/2023 0:00:00,-1.2,-3.3,2.5,1.3,281,24.2
1/27/2023 0:00:00,-1.5,-3.2,0.5,1.4,221,28.4
1/28/2023 0:00:00,-1,-4.4,1.6,0.1,264,25.5
1/29/2023 0:00:00,-1.6,-7.7,2.5,4.7,350,18.4
1/30/2023 0:00:00,-7.1,-12,-1.3,0.1,294,16.5
1/31/2023 0:00:00,-9,-12.5,-5.2,0,274,18.5
2/1/2023 0:00:00,-9.6,-14.5,-4.5,0,249,27.1
2/2/2023 0:00:00,-5.2,-9.6,0.8,0.4,248,33.6
2/3/2023 0:00:00,-15.6,-20.9,-10.6,0,312,31.9
2/4/2023 0:00:00,-11.4,-23.8,-2,0.1,239,22.5
2/5/2023 0:00:00,2,-2.2,5,0,228,25.1
2/6/2023 0:00:00,-1.8,-5.5,2,0,356,16.2
2/7/2023 0:00:00,2.1,-3.8,8.6,0.5,206,25.4
2/8/2023 0:00:00,1.9,-1.5,7.3,0,251,17.8
2/9/2023 0:00:00,2.4,-1.2,7.5,19.7,34,16.7
2/10/2023 0:00:00,2.2,-1.6,5.5,0,264,31.6
2/11/2023 0:00:00,-1,-5.3,3.2,0,250,23.4
2/12/2023 0:00:00,1.3,-1.9,6.1,0,209,14.4
2/13/2023 0:00:00,1.8,-3.4,8.8,0,259,20.5
2/14/2023 0:00:00,2.6,-1.7,8.1,0,215,15.1
2/15/2023 0:00:00,8.9,3.1,13.8,0.8,216,35
2/16/2023 0:00:00,2,-0.8,5.2,3.1,11,18.8
2/17/2023 0:00:00,-3.6,-8.4,1,8.6,334,28.2
2/18/2023 0:00:00,-1.1,-7.9,5.6,0,233,27.4
2/19/2023 0:00:00,3.8,-0.3,8.3,0.7,213,25.5
2/20/2023 0:00:00,2.7,-2.5,5.5,0,304,17.2
2/21/2023 0:00:00,0.7,-2.9,6,1.3,253,26.3
2/22/2023 0:00:00,-2.7,-4.9,-1.5,18.7,51,34.9
2/23/2023 0:00:00,-3.6,-6.1,2.1,12.1,39,26.8
2/24/2023 0:00:00,-7.1,-13.9,1.3,0,301,24.8
2/25/2023 0:00:00,-8.2,-15.3,-1.3,1.2,335,11.4
