date,tavg,tmin,tmax,prcp,wdir,wspd
2023-01-01 0:00:00,2.5,1.5,3.3,0.3,234,9.1
2023-01-02 0:00:00,2.5,-2,5.5,0,260,6.8
2023-01-03 0:00:00,2.3,0,3.5,1.3,57,14.5
2023-01-04 0:00:00,3,2.6,3.7,25.1,66,17.8
2023-01-05 0:00:00,2.8,0.5,4.1,0.5,216,11.1
2023-01-06 0:00:00,1.8,-1.1,4.2,0,250,11.4
2023-01-07 0:00:00,-0.9,-4.9,1.3,0,317,12.3
2023-01-08 0:00:00,-3.8,-6.5,-0.3,0,248,6.7
2023-01-09 0:00:00,-0.3,-3.7,4.3,0,256,15.3
2023-01-10 0:00:00,-1.2,-3.3,0.8,0,45,15.4
2023-01-11 0:00:00,-1.7,-4.5,1.1,0.2,79,30.8
2023-01-12 0:00:00,1.9,0.8,2.9,8.6,50,17.7
2023-01-13 0:00:00,-2.8,-8.5,1,3.2,344,31.5
2023-01-14 0:00:00,-9.9,-14,-5.8,0,340,20.7
2023-01-15 0:00:00,-8.1,-14.4,-2.9,0,50,10.3
2023-01-16 0:00:00,-2.5,-4.7,0.6,0,73,15.7
2023-01-17 0:00:00,1.9,-0.4,3.7,2.8,104,15.4
2023-01-18 0:00:00,2.6,0.6,5,0.7,287,19
2023-01-19 0:00:00,0.9,-0.6,2.7,6.1,72,32.7
2023-01-20 0:00:00,1,-1.2,2.4,0.7,312,18.8
2023-01-21 0:00:00,-0.3,-1.7,1.1,0,259,16.5
2023-01-22 0:00:00,-0.2,-1.1,1.3,3,158,14.2
2023-01-23 0:00:00,-0.5,-3.3,2.2,0,309,21.6
2023-01-24 0:00:00,0.1,-2.1,2.7,0,260,28
2023-01-25 0:00:00,-0.2,-2.6,1.9,13.6,106,28.5
2023-01-26 0:00:00,-1.8,-6.1,2.5,2,295,27
2023-01-27 0:00:00,-2.2,-6.1,0.1,1,224,28.3
2023-01-28 0:00:00,-0.8,-3.2,1.7,0.4,257,26.7
2023-01-29 0:00:00,-2.1,-7.9,0.6,4.8,352,21.2
2023-01-30 0:00:00,-7.9,-13.8,-1.9,0,300,17.1
2023-01-31 0:00:00,-9.9,-15,-6.5,0,273,16.7
2023-02-01 0:00:00,-10.1,-15.4,-4.8,0,254,28.7
2023-02-02 0:00:00,-5.4,-9.8,0.5,0.3,250,36.6
2023-02-03 0:00:00,-17.3,-23,-10.9,0,326,32.2
2023-02-04 0:00:00,-11.8,-25.2,-1.7,0.6,211,25.7
2023-02-05 0:00:00,1.5,-1.7,4.5,0,233,28.3
2023-02-06 0:00:00,-1.8,-6.4,1.3,0,334,16.6
2023-02-07 0:00:00,2.4,-2.4,8.2,0.6,200,27.4
2023-02-08 0:00:00,2.2,-2,6.5,0,247,21
2023-02-09 0:00:00,2.4,-2.2,8.1,16.8,83,21
2023-02-10 0:00:00,2.4,-1.8,5.6,0,264,33.8
2023-02-11 0:00:00,-1.4,-5.4,2.7,0,247,25.5
2023-02-12 0:00:00,0.7,-1.8,4.9,0,183,14.6
2023-02-13 0:00:00,2,-3.2,9.2,0,249,21
2023-02-14 0:00:00,1.9,-2.6,7.1,0,207,15.4
2023-02-15 0:00:00,8.6,3.5,13.4,1.6,212,32.4
