date,tavg,tmin,tmax,prcp,wdir,wspd
1/1/2023 0:00:00,1.9,1,2.7,0.4,230,7.4
1/2/2023 0:00:00,2.1,-2,6.6,0,275,6
1/3/2023 0:00:00,1.8,-1.1,3.4,3.2,66,9.3
1/4/2023 0:00:00,2.7,2.2,3.3,20.7,84,12.9
1/5/2023 0:00:00,2.4,-0.4,3.8,0.4,208,8.5
1/6/2023 0:00:00,1.5,-1.6,4.6,0.3,255,8.1
1/7/2023 0:00:00,-1.7,-5.3,1,0,319,11.1
1/8/2023 0:00:00,-4.4,-7.5,-0.6,0,233,6.1
1/9/2023 0:00:00,-1.2,-5.9,3.8,0,255,11.8
1/10/2023 0:00:00,-1.7,-4.5,0.8,0,29,9.7
1/11/2023 0:00:00,-3.4,-6.3,-0.2,0,87,21.7
1/12/2023 0:00:00,1.2,-0.6,2.7,5.8,55,14.2
1/13/2023 0:00:00,-3.8,-10,0.3,3.2,343,25.7
1/14/2023 0:00:00,-10.8,-15.1,-6.2,0,339,16.1
1/15/2023 0:00:00,-8.7,-15.3,-2.9,0,56,9
1/16/2023 0:00:00,-4.6,-8.1,0.4,0,86,10.4
1/17/2023 0:00:00,1.1,-2.6,3.3,1.9,115,12.5
1/18/2023 0:00:00,2,0,4.4,0.6,296,14.6
1/19/2023 0:00:00,-0.1,-1.4,1.6,6.6,79,24
1/20/2023 0:00:00,0.3,-1.9,1.7,0.3,318,14.3
1/21/2023 0:00:00,-0.9,-2.4,0.5,0,257,9.4
1/22/2023 0:00:00,-1,-2.5,0.8,3,141,9.1
1/23/2023 0:00:00,-1.1,-3.1,1.9,0,310,15
1/24/2023 0:00:00,-0.6,-4.8,2.3,0,263,18.4
1/25/2023 0:00:00,-1,-3.8,0.3,18.7,109,22.4
1/26/2023 0:00:00,-2.8,-7.2,1.6,3.4,314,18.6
1/27/2023 0:00:00,-3.6,-7.2,-0.9,0.9,210,18.3
1/28/2023 0:00:00,-1.7,-5.2,0.8,0.6,255,17.4
1/29/2023 0:00:00,-3.4,-9.2,-0.7,4.7,2,13.8
1/30/2023 0:00:00,-8.7,-15,-2.5,0,297,11.1
1/31/2023 0:00:00,-11.1,-16,-6.6,0,268,10
2/1/2023 0:00:00,-12.1,-19.9,-5.2,0,246,17.2
2/2/2023 0:00:00,-6.4,-10.9,0.3,0.5,245,23.1
2/3/2023 0:00:00,-18.4,-24.3,-12,0.1,328,22
2/4/2023 0:00:00,-14.1,-27.4,-3.6,0.3,190,16.5
2/5/2023 0:00:00,0.5,-3.7,4.3,0,228,17
2/6/2023 0:00:00,-3.2,-8.8,0.9,0,343,12.8
2/7/2023 0:00:00,1.3,-4.3,8.4,0.5,199,20.6
2/8/2023 0:00:00,1.1,-3,6.2,0,258,13.5
2/9/2023 0:00:00,1.7,-3.6,7.9,19.6,98,16.5
2/10/2023 0:00:00,1.9,-2.3,5.2,0.1,270,24.9
2/11/2023 0:00:00,-1.8,-6.4,2.9,0,250,17.7
2/12/2023 0:00:00,0.2,-3.4,6.6,0,177,9.9
2/13/2023 0:00:00,1.5,-3.7,9.3,0,254,15.6
2/14/2023 0:00:00,1.8,-3.1,7.9,0,210,12.7
2/15/2023 0:00:00,8.3,2.6,13.8,2.1,209,26.3
2/16/2023 0:00:00,1.4,-3,4.4,2.2,348,12.4
2/17/2023 0:00:00,-5.3,-10,0.2,5.1,333,22.2
2/18/2023 0:00:00,-2.8,-10.1,5.2,0,237,18.5
2/19/2023 0:00:00,2.5,-2.9,8.1,0.2,204,18.7
