date,tavg,tmin,tmax,prcp,wdir,wspd
1/1/2023 0:00:00,3.2,2.9,4,0.3,233,11.5
1/2/2023 0:00:00,3.8,2,5,0,269,8.9
1/3/2023 0:00:00,2.8,1.3,4,2.1,59,10.1
1/4/2023 0:00:00,2.7,2,4,19.3,76,10.8
1/5/2023 0:00:00,3.2,2.6,4,0.3,197,12.4
1/6/2023 0:00:00,2.6,1.9,4,0.2,243,14.6
1/7/2023 0:00:00,-0.3,-5,2,0,321,16.9
1/8/2023 0:00:00,-3.8,-6,-2,0,248,8.8
1/9/2023 0:00:00,-0.6,-3,1,0,265,21.1
1/10/2023 0:00:00,-0.4,-2,1,0,46,10.5
1/11/2023 0:00:00,-2,-5,1,0.2,79,15.7
1/12/2023 0:00:00,2.3,1,4,6.2,55,14.4
1/13/2023 0:00:00,-3.6,-8,1,2.3,347,33.8
1/14/2023 0:00:00,-7.7,-10,-3,0,342,22.1
1/15/2023 0:00:00,-6,-10,-2,0,34,7.8
1/16/2023 0:00:00,-2.8,-6,2,0,71,8.2
1/17/2023 0:00:00,2.3,0,4,2.3,116,9.3
1/18/2023 0:00:00,3.8,2,5,0,292,18.5
1/19/2023 0:00:00,1.8,1,3.2,5.4,77,19.8
1/20/2023 0:00:00,0.9,-1,3,1.1,284,18.2
1/21/2023 0:00:00,-0.7,-2,0,0,272,12.7
1/22/2023 0:00:00,-0.1,-2,1.2,2.7,158,7.8
1/23/2023 0:00:00,-0.7,-3,2,0,313,19.8
1/24/2023 0:00:00,0.1,-2,2.7,0.1,258,22.6
1/25/2023 0:00:00,-0.4,-2.2,1,13.5,112,15
1/26/2023 0:00:00,-1.9,-4,1,2.6,305,21.9
1/27/2023 0:00:00,-1.5,-3,0,1.2,206,18.3
1/28/2023 0:00:00,-0.2,-2,2,0.3,272,19
1/29/2023 0:00:00,-2.6,-5,0,5.4,0,16.2
1/30/2023 0:00:00,-5.6,-9.1,-2,0,270,12.1
1/31/2023 0:00:00,-8.2,-11,-6,0,265,15.6
2/1/2023 0:00:00,-8.8,-13.9,-5,0,239,19.2
2/2/2023 0:00:00,-4.2,-9,2,0.6,246,28.5
2/3/2023 0:00:00,-16.2,-21,-10,0,330,29.8
2/4/2023 0:00:00,-12,-22,-2.6,0.2,235,11.9
2/5/2023 0:00:00,1.6,-3,4,0,225,14.3
2/6/2023 0:00:00,-1.3,-3.5,2.2,0,312,15.6
2/7/2023 0:00:00,2.1,-1,7,1,201,21.5
2/8/2023 0:00:00,3.1,0.6,7,0,257,14.5
2/9/2023 0:00:00,2.7,0.8,6,17.1,96,11.4
2/10/2023 0:00:00,2.2,-1.5,6,0,269,31.3
2/11/2023 0:00:00,-1.1,-4.3,2,0,262,18.9
2/12/2023 0:00:00,1.8,-2,6,0,184,8.6
2/13/2023 0:00:00,2.1,-2,9,0,273,16.7
2/14/2023 0:00:00,3.2,-2.1,9,0,193,11
2/15/2023 0:00:00,9,4.2,15,0.7,219,26.6
2/16/2023 0:00:00,1.8,-1,5.2,2.3,349,16.4
2/17/2023 0:00:00,-5.1,-9.3,0.2,5,332,28.3
2/18/2023 0:00:00,-2.6,-9,1.5,0,233,18.2
2/19/2023 0:00:00,4.3,-0.1,9,0,196,17
2/20/2023 0:00:00,2.8,-2,6,0,309,16.1
2/21/2023 0:00:00,0.7,-3,5,1,238,23.5
2/22/2023 0:00:00,-3.5,-7,-1,15.2,47,17.4
2/23/2023 0:00:00,-5.7,-8,-1,8.3,59,14.6
2/24/2023 0:00:00,-7.5,-10,-3,0,318,24.5
2/25/2023 0:00:00,-6.3,-9,-3,1.2,129,7.7
2/26/2023 0:00:00,-0.7,-4,2,0,269,22.9
2/27/2023 0:00:00,-3.5,-7.8,-1,10.7,67,21.1
2/28/2023 0:00:00,0.5,-1,2,1.8,292,22
3/1/2023 0:00:00,0.7,-1.9,3,0.4,85,13.5
3/2/2023 0:00:00,0.9,-1,4,0,329,18.8
3/3/2023 0:00:00,-1.3,-5,0.2,18.7,60,21
3/4/2023 0:00:00,1.2,-1.5,5,12.6,321,23.6
3/5/2023 0:00:00,2.3,-0.4,5,0.7,264,14.4
3/6/2023 0:00:00,0.4,-3,3,0,28,8.8
3/7/2023 0:00:00,-0.3,-3,1.3,0,346,33.6
3/8/2023 0:00:00,-1,-3,1,0,342,26.1
3/9/2023 0:00:00,-0.9,-4,2.4,0,353,19.5
3/10/2023 0:00:00,-1.4,-2.5,0,8.5,35,20.8
3/11/2023 0:00:00,-2.4,-4.2,-1,0.4,349,16.7
3/12/2023 0:00:00,-2.7,-5.5,0,1.6,42,9.5
3/13/2023 0:00:00,-1.4,-3,1,0.2,330,14.2
3/14/2023 0:00:00,-3.3,-5.1,-1,0,330,34.8
3/15/2023 0:00:00,-0.8,-5.4,4.4,0,311,22.1
3/16/2023 0:00:00,4.9,0.6,9.3,0.5,207,11.5
3/17/2023 0:00:00,4.5,1.2,8.1,8.7,197,23.1
3/18/2023 0:00:00,-2,-6,1,0.9,252,28.4
3/19/2023 0:00:00,-3.5,-8,0,0,260,29.9
3/20/2023 0:00:00,1.9,-2.1,7.2,0,238,25.2
3/21/2023 0:00:00,6,2.9,9,0,225,12.9
3/22/2023 0:00:00,3.9,1,6,0,106,10.1
3/23/2023 0:00:00,4.9,-0.6,8,4.1,288,14.6
3/24/2023 0:00:00,1.3,-2,5.5,0,346,11.4
3/25/2023 0:00:00,3.2,1,8,20.8,103,26.5
3/26/2023 0:00:00,5,1.7,10,0.1,269,29.7
3/27/2023 0:00:00,2.9,2,5,4.9,55,9.4
3/28/2023 0:00:00,3.5,1,6,0.1,234,10.9
3/29/2023 0:00:00,1.5,-3.9,8,1.6,250,24.6
3/30/2023 0:00:00,-1.3,-6.5,4,0,251,14
3/31/2023 0:00:00,2.4,0,4.4,8.3,108,9.9
4/1/2023 0:00:00,7,-0.7,14,13.6,295,27.7
4/2/2023 0:00:00,-0.5,-5,3,0,49,16.1
4/3/2023 0:00:00,7.4,0.8,13.7,0,193,15.9
4/4/2023 0:00:00,8.5,6.9,10.7,2.5,99,14.1
4/5/2023 0:00:00,5.2,3,7,9.6,94,19.2
4/6/2023 0:00:00,8.8,5,14.5,2.1,255,25.3
4/7/2023 0:00:00,2.8,-0.9,6,0,308,23.7
4/8/2023 0:00:00,1.6,-4,6.1,0,80,10.1
4/9/2023 0:00:00,4.8,0,10,0,98,8.5
4/10/2023 0:00:00,11.5,3,20,0,233,12.5
4/11/2023 0:00:00,15.8,8,24,0,258,27.9
4/12/2023 0:00:00,19.5,12.5,26.2,0.4,255,19.9
