bad_name, good_name, confidence
0, NONE, NONE
longbranch loop, Long Branch Loop, 100
kipling station, Kipling Station, 100
royal york at romney rd, Royal York Rd at Romney Rd, 100
ossington station, Ossington Station, 100
keele station, Keele Station, 100
main station, Main Street Station, 90
steeles loop, Steeles Ave West at Islington Ave Loop, 70
markham and eglinton, Markham Rd at Eglinton Ave East, 90
lakeshore and marine parade, Marine Parade Dr Loop at Lake Shore Blvd West, 80
pape station, Pape Station, 100
willington, Wellington St West at Bay St, 70
castleknock & eglinton, Eglinton Ave West at Castle Knock Rd, 80
woodbine and danforth, Danforth Ave at Woodbine Ave, 85
weston/black creek, Weston Rd at Black Creek Dr North Side, 80
lawrence & yonge, Lawrence Ave at Yonge St - Lawrence Station, 100
wilson station, Wilson Station, 100
bloor and east mall, Bloor St West at The East Mall, 90
woodbine race track, Woodbine Racetrack Loop (Main Entrance), 90
rose hill and yonge st, Yonge St at Rosehill Ave, 85
rivalda and sheppard, Sheppard Ave West at Rivalda Rd, 90
york commons, York University Commons, 100
main station, Main Street Station, 100
york mills station, York Mills Station, 100
castle frank station, Castle Frank Station, 100
york u / commons, York University Commons, 90
rustic & keele, NONE, 0
don mills station, Don Mills Station, 100
peter kaiser and steeles, Peter Kaiser Gate at Steeles Ave West, 90
victoria park station, Victoria Park Station, 100
valley woods rd. & york mills rd., Valley Woods Rd at York Mills Rd, 80
pape stn, Pape Station, 100
eglinton stn, Eglinton Station, 100
humberwd loop, Humber Loop at The Queensway, 70
keele and rogers rd, Rogers Rd at Keele St, 70
warden and eglinton, Warden Ave at Eglinton Ave East, 90
york mills and leslie, York Mills Rd at Leslie St West Side, 80
victoria park stn, Victoria Park Station, 100
fstn, Front St East at Parliament St, 30
bayview and york mills, York Mills Rd at Bayview Ave, 80
freshmeadow and don mills, Freshmeadow Dr at Don Mills Rd, 90
downsview station, Downsview Park Station, 95
bathurst/st. clair, Bathurst St at St Clair Ave West, 80
weston and albion, Weston Rd at Albion Rd, 90
avon loop, Avon Loop at Weston Rd, 90
keele and sheppard, Keele St at Sheppard Ave West, 80
hwy 27 and humber college blvd, Highway 27 at Queen's Plate Dr - Woodbine Centre, 70
east/lawerence, Lawrence Ave East at East Ave - Rouge Hill GO Station, 70
kennedy station, Kennedy Rd at Eglinton Ave East, 100
downsview station, Dupont Station, 50
lawrence w station, Lawrence West Station, 90
keele station, Keele Station, 100
wellesley station, Wellesley Station, 100
davisville station, Davisville Station, 100
nightstar & morningside, Nightstar Rd at Morningside Ave North Side, 80
nighstar & morningside, Nightstar Rd at Morningside Ave North Side, 80
ellesmere & miltary, Ellesmere Rd at Military Trail (East) West Side, 85
ellesmee @ military trail, Ellesmere Rd at Military Trail (East) West Side, 85
ellesmere and military trail, Ellesmere Rd at Military Trail (East) West Side, 85
warden station, Warden Station, 100
york mills @ upjohn, York Mills Rd at Upjohn Rd, 90
eglinton station, Eglinton Station, 100
dundas at humberside, Dundas St West at Humberside Ave, 90
weston rd / eglinton west ave, Weston Rd at Eglinton Ave West, 90
eastmall at rathburn, The East Mall at Rathburn Rd, 90
lawrence west station, Lawrence West Station, 100
malvern gates, NONE, 40
375 danforth rd, 375 Danforth Rd, 100
kennedy station, Kennedy Station, 100
bayview and finch ave east, Bayview Ave at Finch Ave East, 80
scarb town ctr station, Scarborough Centre Station, 100
sheppard ave east at brenyon way, Sheppard Ave East at Brenyon Way, 95
kennedy rd at ellesmere rd, Kennedy Rd at Ellesmere Rd, 95
markham rd at dynamic dr, Markham Rd at Turbina Ave, 75
bathurst st at steeles ave west, Bathurst St at Steeles Ave West, 80
weston rd at haberdon cres, Weston Rd at Habitant Dr, 90
pharmacy ave at brian dr, Pharmacy Ave at Brian Ave, 95
Finch Station, Finch Station, 100
Yonge St at York Mills Rd North Side - York Mills Station, Yonge St at York Mills Rd North Side - York Mills Station, 100
Freshmeadow Dr at Don Mills Rd, NONE, 40
Wilson Station, Wilson Station, 100
jane st at church st, Jane St at Church St, 100
finch and arrow, Finch Ave West at Arrow Rd, 85
warden station, Warden Station, 100
main station, NONE, 50
woodbine station, Woodbine Station, 100
christie station, Christie Station, 100
malvern garage, NONE, 60
signet and steeles, Signet Dr at Steeles Ave West, 80
