"bad_stop","confidence_1","stop_id_1","stop_name_1","confidence_2","stop_id_2","stop_name_2"
"longbranch loop","97","4435","Long Branch Loop","97","4435","Long Branch Loop"
"kipling stn","100","14716","Kipling Station","100","14716","Kipling Station"
"royal york at romney rd","95","7024","Royal York Rd at Romney Rd","88","6984","Royal York Rd at Coney Rd"
"ossington stn","100","14743","Ossington Station","100","14743","Ossington Station"
"keele station","100","14704","Keele Station","100","14704","Keele Station"
"main stn","86","5006","Doncaster Ave at Main St West Side","86","5007","Doncaster Ave at Main St"
"steeles loop","86","1974","Don Mills Rd at Steeles Ave East","86","9719","Bathurst St at Steeles Ave West"
"markham and eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"lakeshore and marine parade","86","10116","Marine Parade Dr Loop at Lake Shore Blvd West","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side"
"pape stn","100","15150","Pape Station","90","13746","Pape Station - Eastbound Platform"
"stc","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","11640","Wagman Centre"
"donmills and lawrence","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"danforth and danforth","86","4623","St Clair Ave East at Danforth Rd","86","9905","Warden Ave at Danforth Rd South Side"
"yonge and yorkmills","86","9897","Eglinton Ave West at Yonge St","86","9898","Eglinton Ave West at Yonge St West Side"
"founders","90","1595","Steeles Ave West at Founders Rd - York University","90","1594","Steeles Ave West at Founders Rd East Side - York University"
"sheppard station","95","14651","Sheppard West Station","95","14651","Sheppard West Station"
"syon","74","8886","Wilson Ave at Wendell Ave","74","8837","Wilson Ave at Avenue Rd"
"warden and danforth","86","4623","St Clair Ave East at Danforth Rd","86","9344","Steeles Ave East at Warden Ave"
"entire route","68","1633","The West Mall at Sherway Dr - Trillium Health Centre (South Stop)","68","1633","The West Mall at Sherway Dr - Trillium Health Centre (South Stop)"
"morningside and staines","86","10947","Morningside Ave at Casebridge Crt North Side","86","11249","Morningside Ave at John Stoner Dr South Side"
"willington","81","3622","Finch Ave West at Wilmington Ave","81","4710","Wellington St West at Bay St"
"castleknock & eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"woodbine and danforth","86","11504","Highway 27 at Queen's Plate Dr - Woodbine Centre","86","2644","Finch Ave West at Woodbine Downs Blvd"
"weston/black creek","86","9383","Eglinton Ave West at Weston Rd","86","9383","Eglinton Ave West at Weston Rd"
"lawrence & yonge","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","9897","Eglinton Ave West at Yonge St"
"wilson stn","100","14799","Wilson Station","100","14799","Wilson Station"
"bloor and east mall","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"woodbine race track","90","13921","Woodbine Race Track Loop (Main Entrance)","86","11504","Highway 27 at Queen's Plate Dr - Woodbine Centre"
"rose hill and yonge st","86","5006","Doncaster Ave at Main St West Side","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"rivalda and sheppard","86","7172","Sheppard Ave East at Commons Dr","86","7172","Sheppard Ave East at Commons Dr"
