Station,Ridership,stationID
BLOOR-YONGE STATION,156643,100
COLLEGE STATION,39137,101
DAVISVILLE STATION,15903,102
DOWNSVIEW PARK STATION,5618,103
DUNDAS STATION,72406,104
DUPONT STATION,11084,105
EGLINTON STATION,60814,106
EGLINTON WEST STATION,13982,107
FINCH STATION,70775,108
FINCH WEST STATION,18345,109
GLENCAIRN STATION,5878,110
HIGHWAY 407 STATION,7649,111
KING STATION,35107,112
LAWRENCE STATION,21197,113
LAWRENCE WEST STATION,19742,114
MUSEUM STATION,9604,115
NORTH YORK CENTRE STATION,16699,116
OSGOODE STATION,19323,117
PIONEER VILLAGE STATION,16570,118
QUEEN STATION,36714,119
QUEEN'S PARK STATION,34444,120
ROSEDALE STATION,4875,121
SHEPPARD WEST STATION,19495,122
SHEPPARD-YONGE STATION,57501,123
SPADINA STATION,11479,124
ST ANDREW STATION,34576,125
ST CLAIR STATION,27336,126
ST CLAIR WEST STATION,21013,127
ST GEORGE STATION,101128,128
ST PATRICK STATION,23989,129
SUMMERHILL STATION,5045,130
UNION STATION,136515,131
VAUGHAN METROPOLITAN CENTRE STATION,20394,132
WELLESLEY STATION,17705,133
WILSON STATION,21579,134
YORK MILLS STATION,20498,135
YORK UNIVERSITY STATION,20447,136
YORKDALE STATION,19725,137
