Station,Ridership
BATHURST STATION,30598
BAY STATION,20980
BLOOR-YONGE STATION,121531
BROADVIEW STATION,11720
CASTLE FRANK STATION,8943
CHESTER STATION,6197
CHRISTIE STATION,11407
COXWELL STATION,13450
DONLANDS STATION,6317
DUFFERIN STATION,26800
DUNDAS WEST STATION,23861
GREENWOOD STATION,9567
HIGH PARK STATION,9173
ISLINGTON STATION,25023
JANE STATION,14953
KEELE STATION,16305
KENNEDY STATION,42881
KIPLING STATION,49392
LANSDOWNE STATION,17406
MAIN STREET STATION,18682
OLD MILL STATION,6109
OSSINGTON STATION,22109
PAPE STATION,34506
ROYAL YORK STATION,17337
RUNNYMEDE STATION,15838
SHERBOURNE STATION,24689
SPADINA STATION,27601
ST GEORGE STATION,108866
VICTORIA PARK STATION,32276
WARDEN STATION,21843
WOODBINE STATION,10803
